,symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
2,KELYA,2020-06-28,15.38,39400000.0,605972000.0,216200000.0,300000.0,390072000.0
1,KELYA,2020-09-30,17.040001,39300000.0,669672039.3,248200000.0,0.0,421472039.29999995
0,KELYA,2020-12-31,20.57,39300000.0,808401000.0,223000000.0,0.0,585401000.0
12,KELYB,2017-12-31,28.5,38300000.0,1091550000.0,32500000.0,10200000.0,1069250000.0
11,KELYB,2018-04-01,29.0,38600000.0,1119400000.0,36600000.0,33400000.0,1116200000.0
10,KELYB,2018-07-01,23.0,38700000.0,890100000.0,33900000.0,1700000.0,857900000.0
9,KELYB,2018-09-30,24.0,38700000.0,928800000.0,20800000.0,8100000.0,916100000.0
8,KELYB,2018-12-30,22.01,38800000.0,853988000.0000001,35300000.0,2200000.0,820888000.0000001
7,KELYB,2019-03-31,23.4,39000000.0,912600000.0,30900000.0,74200000.0,955900000.0
6,KELYB,2019-06-30,25.49,39000000.0,994109999.9999999,37200000.0,68600000.0,1025509999.9999999
5,KELYB,2019-09-29,26.459999,39000000.0,1031939961.0,22800000.0,65100000.0,1074239961.0
4,KELYB,2019-12-29,21.780001,39100000.0,851598039.0999999,25800000.0,63400000.0,889198039.0999999
3,KELYB,2020-03-29,11.34,39200000.0,444528000.0,48300000.0,91900000.0,488128000.0
2,KELYB,2020-06-28,14.75,39200000.0,578200000.0,216200000.0,89400000.0,451400000.0
1,KELYB,2020-09-27,16.84,39000000.0,656760000.0,248000000.0,0.0,408760000.0
0,KELYB,2021-01-03,20.0,39000000.0,780000000.0,223000000.0,0.0,557000000.0
12,KFRC,2017-12-31,26.0,26327000.0,684502000.0,379000.0,119120000.0,803243000.0
11,KFRC,2018-03-31,26.35,24804000.0,653585400.0,257000.0,125398000.0,778726400.0
10,KFRC,2018-06-30,34.299999,26117000.0,895813073.883,473000.0,102714000.0,998054073.883
9,KFRC,2018-09-30,36.740002,24730000.0,908580249.4599999,466000.0,81052000.0,989166249.4599999
8,KFRC,2018-12-31,30.92,26034000.0,804971280.0,112000.0,73159000.0,878018280.0
7,KFRC,2019-03-31,35.709999,25611000.0,914568784.389,259000.0,83592000.0,997901784.389
6,KFRC,2019-06-30,34.990002,24572000.0,859774329.1439999,65047000.0,65909000.0,860636329.1439999
5,KFRC,2019-09-30,37.84,23416000.0,886061440.0000001,41320000.0,65566000.0,910307440.0000001
4,KFRC,2019-12-31,39.700001,22925000.0,910122522.925,19831000.0,65000000.0,955291522.925
3,KFRC,2020-03-31,25.57,21553000.0,551110210.0,31774000.0,100000000.0,619336210.0
2,KFRC,2020-06-30,29.25,20790000.0,608107500.0,52371000.0,100000000.0,655736500.0
1,KFRC,2020-09-30,32.169998,21956000.0,706324476.0879999,101273000.0,105190000.0,710241476.0879999
0,KFRC,2020-12-31,42.09,21956078.0,924131323.0200001,103486000.0,118934000.0,939579323.0200001
12,KOPN,2017-12-30,3.2,72310000.0,231392000.0,24800000.0,0.0,206592000.0
11,KOPN,2018-03-31,3.13,73078344.0,228735216.72,24167900.0,0.0,204567316.72
10,KOPN,2018-06-30,2.86,73916548.0,211401327.28,22742575.0,0.0,188658752.28
9,KOPN,2018-09-29,2.42,73135250.0,176987305.0,19367050.0,0.0,157620255.0
8,KOPN,2018-12-29,1.1,73317240.0,80648964.0,14326350.0,0.0,66322614.0
7,KOPN,2019-03-30,1.34,74968980.0,100458433.2,16583530.0,2585906000.0,2669780903.2
6,KOPN,2019-06-29,1.09,81950350.0,89325881.5,12134530.0,2314032000.0,2391223351.5
5,KOPN,2019-09-28,0.71,82053700.0,58258127.0,8757700.0,2077245000.0,2126745427.0
4,KOPN,2019-12-28,0.42,82155470.0,34505297.4,6029250.0,1791590000.0,1820066047.4
3,KOPN,2020-03-28,0.37,82536420.0,30538475.4,8333600.0,1513520.0,23718395.4
2,KOPN,2020-06-27,1.18,82569380.0,97431868.39999999,8776820.0,1236818.0,89891866.39999999
1,KOPN,2020-09-26,1.28,82596416.0,105723412.48,10624506.0,4988853.0,100087759.48
0,KOPN,2020-12-26,2.64,82596416.0,218054538.24,17112869.0,3635681.0,204577350.24
11,LASR,2018-03-31,26.95,33021147.0,889919911.65,28622000.0,13958000.0,875255911.65
10,LASR,2018-06-30,33.06,24491000.0,809672460.0,129725000.0,17394000.0,697341460.0
9,LASR,2018-09-30,22.19,35007000.0,776805330.0,168182000.0,16225000.0,624848330.0
8,LASR,2018-12-31,17.78,36441000.0,647920980.0,149478000.0,109000.0,498551980.0
7,LASR,2019-03-31,22.86,36694000.0,838824840.0,142366000.0,121000.0,696579840.0
6,LASR,2019-06-30,19.58,37065000.0,725732699.9999999,142661000.0,95000.0,583166699.9999999
5,LASR,2019-09-30,15.66,37262000.0,583522920.0,138863000.0,66000.0,444725920.0
4,LASR,2019-12-31,20.28,37463000.0,759749640.0,117252000.0,51000.0,642548640.0
3,LASR,2020-03-31,10.49,37846000.0,397004540.0,116250000.0,15035000.0,295789540.0
2,LASR,2020-06-30,22.26,38177000.0,849820020.0000001,120899000.0,15005000.0,743926020.0000001
1,LASR,2020-09-30,23.48,38558000.0,905341840.0,110152000.0,347000.0,795536840.0
0,LASR,2020-12-31,32.650002,38877000.0,1269334127.754,102282000.0,399000.0,1167451127.754
12,LPSN,2017-12-31,11.6,56965111.0,660795287.6,56115000.0,0.0,604680287.6
11,LPSN,2018-03-31,16.05,57309707.0,919820797.35,57480000.0,0.0,862340797.35
10,LPSN,2018-06-30,21.1,58648195.0,1237476914.5,69747000.0,0.0,1167729914.5
9,LPSN,2018-09-30,25.12,60014246.0,1507557859.52,66351000.0,0.0,1441206859.52
8,LPSN,2018-12-31,18.86,60794252.0,1146579592.72,66449000.0,0.0,1080130592.72
7,LPSN,2019-03-31,29.14,61422227.0,1789843694.78,237787000.0,171294000.0,1723350694.78
6,LPSN,2019-06-30,27.79,62350787.0,1732728370.73,224727000.0,173817000.0,1681818370.73
5,LPSN,2019-09-30,35.7,63014802.0,2249628431.4,205153000.0,176392000.0,2220867431.4
4,LPSN,2019-12-31,37.0,63556205.0,2351579585.0,176523000.0,179012000.0,2354068585.0
3,LPSN,2020-03-31,22.75,64388850.0,1464846337.5,171479000.0,181678000.0,1475045337.5
2,LPSN,2020-06-30,41.43,65650782.0,2719911898.2599998,173177000.0,184389000.0,2731123898.2599998
1,LPSN,2020-09-30,51.990002,66451414.0,3454809146.762828,198694000.0,196457000.0,3452572146.762828
0,LPSN,2020-12-31,62.23,67027572.0,4171125805.56,654152000.0,538432000.0,4055405805.56
12,LSCC,2017-12-30,5.78,123500000.0,713830000.0,106800000.0,299700000.0,906730000.0
11,LSCC,2018-03-31,5.44,124076000.0,674973440.0,99392000.0,300808000.0,876389440.0
10,LSCC,2018-06-30,6.56,124843000.0,818970080.0,93699000.0,290225000.0,1015496080.0
9,LSCC,2018-09-29,8.0,129500000.0,1036000000.0,107900000.0,261000000.0,1189100000.0
8,LSCC,2018-12-29,6.81,129522000.0,882044820.0,119051000.0,251357000.0,1014350820.0
7,LSCC,2019-03-30,11.93,134810000.0,1608283300.0,130391000.0,225662000.0,1703554300.0
6,LSCC,2019-06-29,14.59,137221000.0,2002054390.0,122636000.0,172287000.0,2051705390.0
5,LSCC,2019-09-28,18.27,138894000.0,2537593380.0,97413000.0,139230000.0,2579410380.0
4,LSCC,2019-12-28,19.23,136059000.0,2616414570.0,118081000.0,125072000.0,2623405570.0
3,LSCC,2020-03-28,16.91,138044000.0,2334324040.0,176572000.0,170791000.0,2328543040.0
2,LSCC,2020-06-27,27.53,139202000.0,3832231060.0,165175000.0,171480000.0,3838536060.0
1,LSCC,2020-09-26,28.07,134903000.0,3786727210.0,182268000.0,170597000.0,3775056210.0
0,LSCC,2021-01-02,45.330002,134903000.0,6115153259.806,182332000.0,31668000.0,5964489259.806
12,LTRPA,2017-12-31,9.45,75000000.0,708750000.0,695000000.0,711000000.0,724750000.0
11,LTRPA,2018-03-31,10.2,75000000.0,765000000.0,656000000.0,484000000.0,593000000.0
10,LTRPA,2018-06-30,16.1,75000000.0,1207500000.0,685000000.0,480000000.0,1002500000.0
9,LTRPA,2018-09-30,14.69,75000000.0,1101750000.0,681000000.0,484000000.0,904750000.0
8,LTRPA,2018-12-31,15.89,71000000.0,1128190000.0,672000000.0,487000000.0,943190000.0
7,LTRPA,2019-03-31,14.72,75000000.0,1104000000.0,787000000.0,572000000.0,889000000.0
6,LTRPA,2019-06-30,12.57,75000000.0,942750000.0,915000000.0,573000000.0,600750000.0
5,LTRPA,2019-09-30,9.41,75000000.0,705750000.0,849000000.0,576000000.0,432750000.0
4,LTRPA,2019-12-31,7.35,75000000.0,551250000.0,341000000.0,431000000.0,641250000.0
3,LTRPA,2020-03-31,1.8,75000000.0,135000000.0,812000000.0,740000000.0,63000000.0
2,LTRPA,2020-06-30,2.13,75000000.0,159750000.0,709000000.0,740000000.0,190750000.0
1,LTRPA,2020-09-30,1.73,75000000.0,129750000.0,453000000.0,490000000.0,166750000.0
0,LTRPA,2020-12-31,4.34,0.0,0.0,423000000.0,491000000.0,68000000.0
12,LTRPB,2017-12-31,9.95,75000000.0,746250000.0,695000000.0,711000000.0,762250000.0
11,LTRPB,2018-03-31,10.75,75000000.0,806250000.0,656000000.0,484000000.0,634250000.0
10,LTRPB,2018-06-30,16.25,75000000.0,1218750000.0,685000000.0,480000000.0,1013750000.0
9,LTRPB,2018-09-30,14.4,75000000.0,1080000000.0,681000000.0,484000000.0,883000000.0
8,LTRPB,2018-12-31,15.32,74000000.0,1133680000.0,672000000.0,487000000.0,948680000.0
7,LTRPB,2019-03-31,14.35,75000000.0,1076250000.0,787000000.0,490000000.0,779250000.0
6,LTRPB,2019-06-30,12.493,75000000.0,936975000.0,915000000.0,493000000.0,514975000.0
5,LTRPB,2019-09-30,8.71,75000000.0,653250000.0000001,849000000.0,497000000.0,301250000.0000001
4,LTRPB,2019-12-31,7.25,75000000.0,543750000.0,341000000.0,353000000.0,555750000.0
3,LTRPB,2020-03-31,3.67,75000000.0,275250000.0,812000000.0,740000000.0,203250000.0
2,LTRPB,2020-06-30,44.716,75000000.0,3353700000.0,709000000.0,740000000.0,3384700000.0
1,LTRPB,2020-09-30,35.77,75000000.0,2682750000.0,453000000.0,531000000.0,2760750000.0
0,LTRPB,2020-12-31,29.43,75000000.0,2207250000.0,423000000.0,761000000.0,2545250000.0
12,MANH,2017-12-31,50.26,68485000.0,3442056100.0,125522000.0,0.0,3316534100.0
11,MANH,2018-03-31,40.39,67553000.0,2728465670.0,106668000.0,0.0,2621797670.0
10,MANH,2018-06-30,47.01,66429000.0,3122827290.0,79034000.0,0.0,3043793290.0
9,MANH,2018-09-30,53.66,65658000.0,3523208280.0,89749000.0,0.0,3433459280.0
8,MANH,2018-12-31,42.37,65199000.0,2762481630.0,99126000.0,0.0,2663355630.0
7,MANH,2019-03-31,55.5,64909000.0,3602449500.0,104879000.0,0.0,3497570500.0
6,MANH,2019-06-30,69.57,64623000.0,4495822110.0,119401000.0,0.0,4376421110.0
5,MANH,2019-09-30,80.67,64247000.0,5182805490.0,113618000.0,0.0,5069187490.0
4,MANH,2019-12-31,79.75,63822000.0,5089804500.0,110678000.0,0.0,4979126500.0
3,MANH,2020-03-31,49.82,63592000.0,3168153440.0,75279000.0,0.0,3092874440.0
2,MANH,2020-06-30,94.2,63509000.0,5982547800.0,123638000.0,0.0,5858909800.0
1,MANH,2020-09-30,95.489998,63524000.0,6065906632.952,166254000.0,0.0,5899652632.952
0,MANH,2020-12-31,105.18,63527000.0,6681769860.0,204705000.0,0.0,6477064860.0
12,MARA,2017-12-31,17.28,3805683.0,65762202.24,14948529.0,1763920.0,52577593.24
11,MARA,2018-03-31,4.56,3805683.0,17353914.479999997,5367963.0,1613849.0,13599800.479999997
10,MARA,2018-06-30,3.68,5009297.0,18434212.96,4232611.0,999106.0,15200707.96
9,MARA,2018-09-30,2.88,6080447.0,17511687.36,3188780.0,999106.0,15322013.36
8,MARA,2018-12-31,1.44,6338418.0,9127321.92,2551171.0,999106.0,7575256.92
7,MARA,2019-03-31,2.28,6338418.0,14451593.04,1964484.0,999106.0,13486215.04
6,MARA,2019-06-30,2.65,6350080.0,16827712.0,1688426.0,999106.0,16138392.0
5,MARA,2019-09-30,1.75,6372061.0,11151106.75,1342985.0,999106.0,10807227.75
4,MARA,2019-12-31,0.88,8655525.0,7616862.0,692963.0,999106.0,7923005.0
3,MARA,2020-03-31,0.45,8655525.0,3894986.25,474546.0,999106.0,4419546.25
2,MARA,2020-06-30,0.91,16291610.0,14825365.1,775119.0,62500.0,14112746.1
1,MARA,2020-09-30,1.96,31520736.0,61780642.56,17252110.0,155697.0,44684229.56
0,MARA,2020-12-31,10.44,31520736.0,329076483.84,141322776.0,1061606.0,188815313.83999997
2,MCFE,2020-09-26,18.700001,431857041.0,8075727098.557041,348000000.0,66000000.0,7793727098.557041
1,MCFE,2020-09-30,18.700001,431857041.0,8075727098.557041,348000000.0,4742000000.0,12469727098.557041
0,MCFE,2020-12-26,16.24,431857041.0,7013358345.839999,231000000.0,69000000.0,6851358345.839999
12,MDRX,2017-12-31,14.98,180700000.0,2706886000.0,155839000.0,1562360000.0,4113407000.0
11,MDRX,2018-03-31,12.06,179900000.0,2169594000.0,135003000.0,1711440000.0,3746031000.0
10,MDRX,2018-06-30,12.0,176400000.0,2116800000.0,135851000.0,1629957000.0,3610906000.0
9,MDRX,2018-09-30,13.56,174600000.0,2367576000.0,111775000.0,1814288000.0,4070089000.0
8,MDRX,2018-12-31,9.64,173400000.0,1671576000.0,174243000.0,667598000.0,2164931000.0
7,MDRX,2019-03-31,9.51,169957000.0,1616291070.0,137167000.0,786758000.0,2265882070.0
6,MDRX,2019-06-30,11.66,166500000.0,1941390000.0,138903000.0,844845000.0,2647332000.0
5,MDRX,2019-09-30,10.98,166400000.0,1827072000.0,129349000.0,913438000.0,2611161000.0
4,MDRX,2019-12-31,9.82,162400000.0,1594768000.0,129668000.0,915469000.0,2380569000.0
3,MDRX,2020-03-31,7.04,162500000.0,1144000000.0,204308000.0,1051185000.0,1990877000.0
2,MDRX,2020-06-30,6.77,162682000.0,1101357140.0,199004000.0,1036241000.0,1938594140.0
1,MDRX,2020-09-30,8.14,161100000.0,1311354000.0,218701000.0,1074341000.0,2166994000.0
0,MDRX,2020-12-31,14.44,161100000.0,2326284000.0,531104000.0,215880000.0,2011060000.0
4,MGNI,2019-12-31,9.04,53473000.0,483395919.99999994,88888000.0,15231000.0,409738919.99999994
3,MGNI,2020-03-31,10.6,54866000.0,581579600.0,71283000.0,0.0,510296600.0
2,MGNI,2020-06-30,6.67,108530000.0,723895100.0,107490000.0,0.0,616405100.0
1,MGNI,2020-09-30,6.95,110416000.0,767391200.0,103797000.0,45418000.0,709012200.0
0,MGNI,2020-12-31,30.709999,110416000.0,3390875249.584,117676000.0,53000.0,3273252249.584
12,MGRC,2017-12-31,47.459999,24044000.0,1141128215.956,2501000.0,303414000.0,1442041215.956
11,MGRC,2018-03-31,52.869999,24067000.0,1272422265.933,4448000.0,300595000.0,1568569265.933
10,MGRC,2018-06-30,63.27,24145000.0,1527654150.0,4484000.0,314860000.0,1838030150.0
9,MGRC,2018-09-30,55.049999,24172000.0,1330668575.828,4399000.0,309006000.0,1635275575.828
8,MGRC,2018-12-31,51.48,24179000.0,1244734920.0,1508000.0,298564000.0,1541790920.0
7,MGRC,2019-03-31,57.849998,24195000.0,1399680701.61,1442000.0,289464000.0,1687702701.61
6,MGRC,2019-06-30,61.740002,24246000.0,1496948088.4919999,1496000.0,301878000.0,1797330088.4919999
5,MGRC,2019-09-30,69.589996,24268000.0,1688810022.928,2290000.0,301469000.0,1987989022.928
4,MGRC,2019-12-31,76.540001,24290000.0,1859156624.2900002,2342000.0,293431000.0,2150245624.29
3,MGRC,2020-03-31,52.380001,24292000.0,1272414984.292,342000.0,291544000.0,1563616984.292
2,MGRC,2020-06-30,54.009998,24121000.0,1302775161.7580001,694000.0,272149000.0,1574230161.7580001
1,MGRC,2020-09-30,59.59,24097000.0,1435940230.0,1543000.0,249980000.0,1684377230.0
0,MGRC,2020-12-31,67.099998,24119000.0,1618384851.762,1238000.0,457479000.0,2074625851.762
12,MITK,2017-12-31,8.9,34207000.0,304442300.0,6341000.0,0.0,298101300.0
11,MITK,2018-03-31,7.4,34976000.0,258822400.0,25238000.0,0.0,233584400.0
10,MITK,2018-06-30,8.9,36190000.0,322091000.0,8634000.0,0.0,313457000.0
9,MITK,2018-09-30,6.75,37858000.0,255541500.0,9028000.0,0.0,246513500.0
8,MITK,2018-12-31,10.81,38247000.0,413450070.0,10437000.0,0.0,403013070.0
7,MITK,2019-03-31,12.2,38926000.0,474897200.0,18745000.0,0.0,456152200.0
6,MITK,2019-06-30,9.82,39936000.0,392171520.0,16092000.0,0.0,376079520.0
5,MITK,2019-09-30,9.65,40252000.0,388431800.0,16748000.0,0.0,371683800.0
4,MITK,2019-12-31,7.65,40615000.0,310704750.0,14793000.0,0.0,295911750.0
3,MITK,2020-03-31,7.88,41022000.0,323253360.0,16928000.0,0.0,306325360.0
2,MITK,2020-06-30,9.61,41483000.0,398651630.0,18938000.0,0.0,379713630.0
1,MITK,2020-09-30,12.74,41483000.0,528493420.0,19986000.0,0.0,508507420.0
0,MITK,2020-12-31,17.780001,42476000.0,755223322.476,26723000.0,0.0,728500322.476
0,MSGM,2020-12-31,35.0,0.0,0.0,3990532.0,0.0,-3990532.0
12,MSTR,2017-12-31,131.8,11447000.0,1508714600.0000002,420244000.0,0.0,1088470600.0000002
11,MSTR,2018-03-31,125.54,11447000.0,1437056380.0,152155000.0,0.0,1284901380.0
10,MSTR,2018-06-30,127.75,11459000.0,1463887250.0,90427000.0,0.0,1373460250.0
9,MSTR,2018-09-30,136.47,11467000.0,1564901490.0,112082000.0,0.0,1452819490.0
8,MSTR,2018-12-31,127.75,11129000.0,1421729750.0,109924000.0,0.0,1311805750.0
7,MSTR,2019-03-31,147.34,10328000.0,1521727520.0,258743000.0,0.0,1262984520.0
6,MSTR,2019-06-30,140.03,10240000.0,1433907200.0,261497000.0,0.0,1172410200.0
5,MSTR,2019-09-30,148.37,10251000.0,1520940870.0,375071000.0,0.0,1145869870.0
4,MSTR,2019-12-31,142.63,10208000.0,1455967040.0,456727000.0,0.0,999240040.0
3,MSTR,2020-03-31,118.1,9976000.0,1178165600.0,429276000.0,0.0,748889600.0
2,MSTR,2020-06-30,118.29,9739000.0,1152026310.0,420899000.0,0.0,731127310.0
1,MSTR,2020-09-30,150.559998,9616000.0,1447784940.7680001,52653000.0,0.0,1395131940.7680001
0,MSTR,2020-12-31,388.549988,9616000.0,3736296684.608,59675000.0,491321000.0,4167942684.608
12,MTSI,2017-12-29,32.540001,64300000.0,2092322064.2999997,152100000.0,679900000.0,2620122064.2999997
11,MTSI,2018-03-30,16.6,65900000.0,1093940000.0,162700000.0,683500000.0,1614740000.0
10,MTSI,2018-06-29,23.040001,64900000.0,1495296064.9,85300000.0,685800000.0,2095796064.9
9,MTSI,2018-09-28,20.6,65200000.0,1343120000.0,94700000.0,687400000.0,1935820000.0
8,MTSI,2018-12-28,15.0,65500000.0,982500000.0,87100000.0,688900000.0,1584300000.0
7,MTSI,2019-03-29,16.709999,65531000.0,1095022944.469,92677000.0,685968000.0,1688313944.469
6,MTSI,2019-06-28,15.13,65858000.0,996431540.0,85265000.0,684894000.0,1596060540.0
5,MTSI,2019-09-27,21.68,66079000.0,1432592720.0,75519000.0,684778000.0,2041851720.0
4,MTSI,2020-01-03,26.08,66448500.0,1732976880.0,108184000.0,684426000.0,2309218880.0
3,MTSI,2020-04-03,18.549999,66654000.0,1236431633.346,120735000.0,683419000.0,1799115633.346
2,MTSI,2020-07-03,35.130001,66796000.0,2346543546.796,131870000.0,683804000.0,2898477546.796
1,MTSI,2020-10-02,33.799999,66796000.0,2257704733.204,129441000.0,8253000.0,2136516733.204
0,MTSI,2021-01-01,55.040001,66796000.0,3676451906.796,128728000.0,8204000.0,3555927906.796
12,NATI,2017-12-31,42.299999,130886000.0,5536477669.114,290164000.0,0.0,5246313669.114
11,NATI,2018-03-31,48.080002,131127000.0,6304586422.254,250365000.0,0.0,6054221422.254
10,NATI,2018-06-30,41.98,131877000.0,5536196460.0,217619000.0,0.0,5318577460.0
9,NATI,2018-09-30,47.950001,132357000.0,6346518282.357,311381000.0,0.0,6035137282.357
8,NATI,2018-12-31,45.380001,132565000.0,6015799832.565,259386000.0,0.0,5756413832.565
7,NATI,2019-03-31,45.419998,132252000.0,6006885575.496,228766000.0,0.0,5778119575.496
6,NATI,2019-06-30,42.73,132062000.0,5643009260.0,191761000.0,0.0,5451248260.0
5,NATI,2019-09-30,41.990002,131385000.0,5516856412.7699995,222773000.0,0.0,5294083412.7699995
4,NATI,2019-12-31,42.34,130776000.0,5537055840.0,194616000.0,0.0,5342439840.0
3,NATI,2020-03-31,33.080002,130613000.0,4320678301.226,254441000.0,0.0,4066237301.226
2,NATI,2020-06-30,38.709999,131014000.0,5071551808.986,471205000.0,88520000.0,4688866808.986
1,NATI,2020-09-30,35.700001,131419000.0,4691658431.419,197319000.0,87789000.0,4582128431.419
0,NATI,2020-12-31,43.939999,131419000.0,5774550728.581,260232000.0,97036000.0,5611354728.581
1,NCNO,2020-07-31,79.099998,84629777.0,6694215191.440446,388191000.0,0.0,6306024191.440446
0,NCNO,2020-10-31,70.519997,84629777.0,5968091620.150669,91184000.0,0.0,5876907620.150669
12,NH,2017-12-31,3.22,107810546.0,347149958.12,61660000.0,195458000.0,480947958.12
11,NH,2018-03-31,3.09,108579271.0,335509947.39,46390000.0,196652000.0,485771947.39
10,NH,2018-06-30,3.31,109120438.0,361188649.78000003,29409000.0,197887000.0,529666649.78000003
9,NH,2018-09-30,1.58,109471712.0,172965304.96,22841000.0,199161000.0,349285304.96000004
8,NH,2018-12-31,0.544,109490441.0,59562799.90400001,18305000.0,200477000.0,241734799.904
7,NH,2019-03-31,0.94,109904336.0,103310075.83999999,12444000.0,201834000.0,292700075.84
6,NH,2019-06-30,0.56,110209510.0,61717325.60000001,7076000.0,203236000.0,257877325.60000002
5,NH,2019-09-30,0.718,110619905.0,79425091.78999999,9326000.0,205629000.0,275728091.78999996
4,NH,2019-12-31,1.03,110619780.0,113938373.4,5243000.0,206416000.0,315111373.4
3,NH,2020-03-31,1.59,110619780.0,175885450.20000002,47478000.0,207720000.0,336127450.20000005
2,NH,2020-06-30,4.58,110831456.0,507608068.48,37526000.0,209313000.0,679395068.48
1,NH,2020-09-30,2.34,110929357.0,259574695.38,25908000.0,212022000.0,445688695.38
0,NH,2020-12-31,3.23,110929357.0,358301823.11,22787000.0,268000.0,335782823.11
12,NTCT,2017-12-31,31.35,87210000.0,2734033500.0,331912000.0,300000000.0,2702121500.0
11,NTCT,2018-03-31,26.0,82655000.0,2149030000.0,369821000.0,600000000.0,2379209000.0
10,NTCT,2018-06-30,29.7,80358000.0,2386632600.0,353416000.0,600000000.0,2633216600.0
9,NTCT,2018-09-30,24.79,78631000.0,1949262490.0,332183000.0,600000000.0,2217079490.0
8,NTCT,2018-12-31,23.63,77774000.0,1837799620.0,369054000.0,600000000.0,2068745620.0
7,NTCT,2019-03-31,28.78,77705000.0,2236349900.0,409632000.0,550000000.0,2376717900.0
6,NTCT,2019-06-30,25.76,77302000.0,1991299520.0000002,353721000.0,500000000.0,2137578520.0000002
5,NTCT,2019-09-30,23.06,75687000.0,1745342220.0,245064000.0,450000000.0,1950278220.0
4,NTCT,2019-12-31,24.07,74367000.0,1790013690.0,287660000.0,450000000.0,1952353690.0
3,NTCT,2020-03-31,23.67,73293000.0,1734845310.0000002,338489000.0,450000000.0,1846356310.0000002
2,NTCT,2020-06-30,25.56,72303000.0,1848064680.0,403306000.0,450000000.0,1894758680.0
1,NTCT,2020-09-30,21.83,73058000.0,1594856139.9999998,415719000.0,450000000.0,1629137139.9999998
0,NTCT,2020-12-31,27.42,73492000.0,2015150640.0000002,477755000.0,450000000.0,1987395640.0000002
12,NTNX,2018-01-31,32.1,161737428.0,5191771438.8,610446000.0,415651000.0,4996976438.8
11,NTNX,2018-04-30,50.59,166845544.0,8440716070.960001,376789000.0,422567000.0,8486494070.960001
10,NTNX,2018-07-31,48.89,171197547.0,8369848072.83,305975000.0,429598000.0,8493471072.83
9,NTNX,2018-10-31,41.51,175445969.0,7282762173.19,399786000.0,436745000.0,7319721173.19
8,NTNX,2019-01-31,51.23,179444648.0,9192949317.039999,466010000.0,444012000.0,9170951317.039999
7,NTNX,2019-04-30,43.19,182962921.0,7902168557.99,445119000.0,451399000.0,7908448557.99
6,NTNX,2019-07-31,22.7,186370867.0,4230618680.9,396678000.0,458910000.0,4292850680.9
5,NTNX,2019-10-31,29.22,189671000.0,5542186620.0,233820000.0,466545000.0,5774911620.0
4,NTNX,2020-01-31,32.47,192727000.0,6257845690.0,211693000.0,474308000.0,6520460690.0
3,NTNX,2020-04-30,20.49,196366000.0,4023539339.9999995,262331000.0,482199000.0,4243407339.9999995
2,NTNX,2020-07-31,22.19,203095000.0,4506678050.0,318737000.0,490222000.0,4678163050.0
1,NTNX,2020-10-31,24.34,203095000.0,4943332300.0,504482000.0,1031206000.0,5470056300.0
0,NTNX,2021-01-31,31.370001,202520000.0,6353052602.5199995,298701000.0,1011725000.0,7066076602.5199995
12,NVEC,2017-12-31,87.82,4841369.0,425169025.58,4728352.0,0.0,420440673.58
11,NVEC,2018-03-31,78.910004,4842010.0,382083028.46804,4755082.0,0.0,377327946.46804
10,NVEC,2018-06-30,121.779999,4842010.0,589659972.95799,8451861.0,0.0,581208111.95799
9,NVEC,2018-09-30,104.209999,4843032.0,504692359.87696797,6047918.0,0.0,498644441.87696797
8,NVEC,2018-12-31,87.540001,4845010.0,424132180.24501,6206549.0,0.0,417925631.24501
7,NVEC,2019-03-31,98.699997,4844010.0,478103772.46796995,6877304.0,0.0,471226468.46796995
6,NVEC,2019-06-30,69.900002,4846010.0,338736108.69202,13039292.0,0.0,325696816.69202
5,NVEC,2019-09-30,66.349998,4846010.0,321532753.80798,14076290.0,0.0,307456463.80798
4,NVEC,2019-12-31,71.400002,4846010.0,346005123.69202,10153173.0,0.0,335851950.69202
3,NVEC,2020-03-31,52.029999,4844470.0,252057769.25552997,8065594.0,0.0,243992175.25552997
2,NVEC,2020-06-30,61.830002,4835038.0,298950409.210076,6402983.0,0.0,292547426.210076
1,NVEC,2020-09-30,49.080002,4834709.0,237287527.389418,3845070.0,0.0,233442457.389418
0,NVEC,2020-12-31,56.18,4833232.0,271530973.76,13988308.0,0.0,257542665.76
12,OMCL,2017-12-31,49.5,38127000.0,1887286500.0,32424000.0,210125000.0,2064987500.0
11,OMCL,2018-03-31,42.2,38635000.0,1630397000.0,43773000.0,208198000.0,1794822000.0
10,OMCL,2018-06-30,52.45,38970000.0,2043976500.0,46168000.0,198770000.0,2196578500.0
9,OMCL,2018-09-30,70.23,39432000.0,2769309360.0,44174000.0,184843000.0,2909978360.0
8,OMCL,2018-12-31,61.24,39913000.0,2444272120.0,67192000.0,135417000.0,2512497120.0
7,OMCL,2019-03-31,80.22,40692000.0,3264312240.0,77244000.0,96990000.0,3284058240.0
6,OMCL,2019-06-30,88.34,41371000.0,3654714140.0,87482000.0,76562000.0,3643794140.0
5,OMCL,2019-09-30,72.27,41771000.0,3018790170.0,137277000.0,77135000.0,2958648170.0
4,OMCL,2019-12-31,81.72,41993000.0,3431667960.0,127210000.0,50000000.0,3354457960.0
3,OMCL,2020-03-31,65.58,42357000.0,2777772060.0,104080000.0,0.0,2673692060.0
2,OMCL,2020-06-30,70.62,42659000.0,3012578580.0,133583000.0,0.0,2878995580.0
